CPU,Amostras,Media,Low1,Low01,Low001
1,66557,2219.30,1776.83,1509.66,1276.49
9,66001,2200.22,1754.69,1484.56,1142.73
6,66011,2201.11,1764.29,1473.41,1019.16
4,66651,2221.92,1774.31,1462.20,1054.07
5,66603,2221.51,1769.60,1458.36,1112.35
7,66794,2226.28,1779.04,1454.33,1048.66
11,65333,2178.17,1749.78,1453.91,1130.71
13,66341,2210.03,1775.57,1452.64,1000.80
8,66062,2202.44,1764.60,1452.22,929.45
10,66072,2201.89,1755.00,1450.96,1217.43
14,65775,2192.39,1736.11,1448.44,1194.60
3,66236,2206.59,1717.92,1413.43,960.15
12,66833,2228.69,1799.53,1369.86,941.18
2,65447,2182.24,1686.91,1293.33,682.45
0,66452,2214.87,1692.05,1290.66,857.12
15,64971,2165.76,1662.51,1189.20,448.81
